txn_id,vendor_id,timestamp,amount,txn_type,invoice_no,is_injected,case_id,expected_class,predicted_class,rule_under_test,case_notes
T-1250,V008,2025-02-14T13:49:46,1728.87,INVOICE,INV-70250,False,,,,,
T-1428,V017,2025-02-14T14:12:34,550.04,INVOICE,INV-70428,False,,,,,
T-1120,V005,2025-02-18T10:07:49,354.0,INVOICE,INV-70120,False,,,,,
T-1145,V006,2025-02-18T11:16:18,27153.18,INVOICE,INV-70145,False,,,,,
T-1416,V016,2025-02-18T14:30:45,10181.02,INVOICE,INV-70416,False,,,,,
T-1075,V003,2025-02-19T09:54:41,2991.04,INVOICE,INV-70075,False,,,,,
T-1262,V009,2025-02-19T10:22:21,7505.77,INVOICE,INV-70262,False,,,,,
T-1315,V011,2025-02-19T10:50:12,1522.28,INVOICE,INV-70315,False,,,,,
T-1367,V015,2025-02-21T09:40:46,679.34,INVOICE,INV-70367,False,,,,,
T-1062,V002,2025-02-21T10:08:26,17483.18,INVOICE,INV-70062,False,,,,,
T-1042,V001,2025-02-24T09:46:55,274.63,INVOICE,INV-70042,False,,,,,
T-1472,V019,2025-02-24T11:04:24,140.5,INVOICE,INV-70472,False,,,,,
T-1227,V008,2025-02-24T14:41:10,2099.22,INVOICE,INV-70227,False,,,,,
T-1338,V012,2025-02-25T10:43:14,9389.72,INVOICE,INV-70338,False,,,,,
T-1499,V020,2025-02-25T14:11:41,2653.41,INVOICE,INV-70499,False,,,,,
T-1352,V013,2025-02-25T15:18:09,1499.0,INVOICE,INV-70352,False,,,,,
T-1213,V008,2025-02-26T10:28:28,1786.0,INVOICE,INV-70213,False,,,,,
T-1289,V010,2025-02-26T14:43:15,689.54,INVOICE,INV-70289,False,,,,,
T-1403,V015,2025-02-27T10:30:27,1031.59,INVOICE,INV-70403,False,,,,,
T-1117,V005,2025-02-27T10:34:20,1699.8,INVOICE,INV-70117,False,,,,,
T-1035,V001,2025-02-27T13:58:33,416.05,INVOICE,INV-70035,False,,,,,
T-1170,V007,2025-02-27T15:09:35,1080.17,INVOICE,INV-70170,False,,,,,
T-1064,V002,2025-03-05T10:03:59,12927.33,INVOICE,INV-70064,False,,,,,
T-1027,V001,2025-03-05T10:45:45,328.7,INVOICE,INV-70027,False,,,,,
T-1357,V014,2025-03-06T09:13:56,17754.47,INVOICE,INV-70357,False,,,,,
T-1033,V001,2025-03-06T10:25:51,307.13,INVOICE,INV-70033,False,,,,,
T-1321,V011,2025-03-06T14:16:29,3859.57,INVOICE,INV-70321,False,,,,,
T-1105,V005,2025-03-07T09:17:03,269.43,INVOICE,INV-70105,False,,,,,
T-1298,V010,2025-03-07T10:17:56,481.98,INVOICE,INV-70298,False,,,,,
T-1313,V011,2025-03-07T10:22:41,3347.59,INVOICE,INV-70313,False,,,,,
T-1199,V008,2025-03-07T14:52:11,1473.61,INVOICE,INV-70199,False,,,,,
T-1379,V015,2025-03-09T11:53:40,581.43,INVOICE,INV-70379,False,,,,,
T-1305,V011,2025-03-10T10:37:45,1728.62,INVOICE,INV-70305,False,,,,,
T-1269,V009,2025-03-10T13:25:13,5271.03,INVOICE,INV-70269,False,,,,,
T-1457,V019,2025-03-10T15:11:11,167.74,INVOICE,INV-70457,False,,,,,
T-1210,V008,2025-03-11T10:41:02,1729.42,INVOICE,INV-70210,False,,,,,
T-1004,V001,2025-03-11T14:43:54,208.71,INVOICE,INV-70004,False,,,,,
T-1238,V008,2025-03-12T11:17:38,2637.42,INVOICE,INV-70238,False,,,,,
T-1297,V010,2025-03-13T12:02:28,693.12,INVOICE,INV-70297,False,,,,,
T-1201,V008,2025-03-14T15:50:56,2369.5,INVOICE,INV-70201,False,,,,,
T-1384,V015,2025-03-16T15:32:03,703.32,INVOICE,INV-70384,False,,,,,
T-1320,V011,2025-03-17T14:45:43,7098.56,INVOICE,INV-70320,False,,,,,
T-1279,V010,2025-03-17T15:16:46,675.96,INVOICE,INV-70279,False,,,,,
T-1203,V008,2025-03-18T09:24:41,1916.34,INVOICE,INV-70203,False,,,,,
T-1471,V019,2025-03-18T15:55:59,89.48,INVOICE,INV-70471,False,,,,,
T-1090,V004,2025-03-19T09:13:17,5331.02,INVOICE,INV-70090,False,,,,,
T-1248,V008,2025-03-19T16:04:25,1078.9,INVOICE,INV-70248,False,,,,,
T-1172,V007,2025-03-21T09:58:30,873.36,INVOICE,INV-70172,False,,,,,
T-1480,V019,2025-03-24T11:05:26,281.11,INVOICE,INV-70480,False,,,,,
T-1052,V002,2025-03-24T13:46:25,11795.87,INVOICE,INV-70052,False,,,,,
T-1215,V008,2025-03-24T15:40:08,1759.0,INVOICE,INV-70215,False,,,,,
T-1196,V007,2025-03-25T14:58:59,951.82,INVOICE,INV-70196,False,,,,,
T-1274,V009,2025-03-25T15:21:32,5836.04,INVOICE,INV-70274,False,,,,,
T-1488,V019,2025-03-27T10:26:01,238.98,INVOICE,INV-70488,False,,,,,
T-1200,V008,2025-03-27T14:24:09,2701.71,INVOICE,INV-70200,False,,,,,
T-1233,V008,2025-03-27T15:07:27,1634.51,INVOICE,INV-70233,False,,,,,
T-1247,V008,2025-03-27T15:13:22,2439.8,INVOICE,INV-70247,False,,,,,
T-1380,V015,2025-03-28T10:50:21,965.49,INVOICE,INV-70380,False,,,,,
T-1268,V009,2025-03-28T13:04:29,5416.71,INVOICE,INV-70268,False,,,,,
T-1240,V008,2025-03-31T08:45:31,2082.7,INVOICE,INV-70240,False,,,,,
T-1181,V007,2025-03-31T09:15:51,889.33,INVOICE,INV-70181,False,,,,,
T-1026,V001,2025-03-31T10:34:28,146.41,INVOICE,INV-70026,False,,,,,
T-1437,V017,2025-03-31T10:35:26,1538.21,INVOICE,INV-70437,False,,,,,
T-1485,V019,2025-03-31T11:01:52,98.84,INVOICE,INV-70485,False,,,,,
T-1382,V015,2025-04-01T14:37:27,806.64,INVOICE,INV-70382,False,,,,,
T-1251,V008,2025-04-02T10:46:46,1787.96,INVOICE,INV-70251,False,,,,,
T-1056,V002,2025-04-02T14:28:43,12977.79,INVOICE,INV-70056,False,,,,,
T-1098,V005,2025-04-02T14:39:41,874.73,INVOICE,INV-70098,False,,,,,
T-1135,V005,2025-04-04T10:08:25,578.16,INVOICE,INV-70135,False,,,,,
T-1070,V002,2025-04-04T12:24:40,12635.02,INVOICE,INV-70070,False,,,,,
T-1310,V011,2025-04-07T12:08:25,1135.2,INVOICE,INV-70310,False,,,,,
T-1020,V001,2025-04-07T14:46:49,319.94,INVOICE,INV-70020,False,,,,,
T-1094,V004,2025-04-09T10:16:21,4333.95,INVOICE,INV-70094,False,,,,,
T-1482,V019,2025-04-09T12:18:19,134.86,INVOICE,INV-70482,False,,,,,
T-1282,V010,2025-04-10T14:23:09,244.53,INVOICE,INV-70282,False,,,,,
T-1073,V003,2025-04-10T14:47:10,2768.91,INVOICE,INV-70073,False,,,,,
T-1102,V005,2025-04-10T14:55:23,1092.59,INVOICE,INV-70102,False,,,,,
T-1221,V008,2025-04-11T08:21:31,3010.21,INVOICE,INV-70221,False,,,,,
T-1104,V005,2025-04-11T10:14:39,1392.53,INVOICE,INV-70104,False,,,,,
T-1237,V008,2025-04-11T10:38:52,2670.77,INVOICE,INV-70237,False,,,,,
T-1498,V020,2025-04-11T14:07:14,4014.13,INVOICE,INV-70498,False,,,,,
T-1065,V002,2025-04-11T14:23:00,8618.89,INVOICE,INV-70065,False,,,,,
T-1115,V005,2025-04-11T15:08:13,1664.72,INVOICE,INV-70115,False,,,,,
T-1194,V007,2025-04-11T15:20:23,596.61,INVOICE,INV-70194,False,,,,,
T-1163,V007,2025-04-11T16:29:17,582.48,INVOICE,INV-70163,False,,,,,
T-1481,V019,2025-04-14T09:43:40,99.81,INVOICE,INV-70481,False,,,,,
T-1031,V001,2025-04-14T09:49:57,572.49,INVOICE,INV-70031,False,,,,,
T-1461,V019,2025-04-15T10:12:57,126.96,INVOICE,INV-70461,False,,,,,
T-1234,V008,2025-04-15T15:14:09,1574.33,INVOICE,INV-70234,False,,,,,
T-1425,V017,2025-04-15T15:51:38,2136.37,INVOICE,INV-70425,False,,,,,
T-1456,V019,2025-04-16T08:30:06,694.89,INVOICE,INV-70456,False,,,,,
T-1188,V007,2025-04-16T08:50:17,711.4,INVOICE,INV-70188,False,,,,,
T-1232,V008,2025-04-16T14:47:03,2707.68,INVOICE,INV-70232,False,,,,,
T-1123,V005,2025-04-17T12:42:12,1476.87,INVOICE,INV-70123,False,,,,,
T-1053,V002,2025-04-17T13:46:26,12006.6,INVOICE,INV-70053,False,,,,,
T-1449,V018,2025-04-17T15:55:56,1260.82,INVOICE,INV-70449,False,,,,,
T-1308,V011,2025-04-21T10:13:44,3298.41,INVOICE,INV-70308,False,,,,,
T-1143,V005,2025-04-21T10:57:47,980.1,INVOICE,INV-70143,False,,,,,
T-1335,V011,2025-04-21T14:18:54,2684.77,INVOICE,INV-70335,False,,,,,
T-1133,V005,2025-04-22T10:59:21,3939.78,INVOICE,INV-70133,False,,,,,
T-1421,V016,2025-04-23T15:23:56,6519.51,INVOICE,INV-70421,False,,,,,
T-1005,V001,2025-04-24T10:47:59,443.56,INVOICE,INV-70005,False,,,,,
T-1034,V001,2025-04-24T14:22:43,564.51,INVOICE,INV-70034,False,,,,,
T-1331,V011,2025-04-24T15:16:37,2126.6,INVOICE,INV-70331,False,,,,,
T-1138,V005,2025-04-24T15:39:59,305.98,INVOICE,INV-70138,False,,,,,
T-1018,V001,2025-04-25T10:39:47,316.19,INVOICE,INV-70018,False,,,,,
T-1351,V013,2025-04-25T14:07:15,1499.0,INVOICE,INV-70351,False,,,,,
T-1149,V006,2025-04-28T14:13:49,14011.22,INVOICE,INV-70149,False,,,,,
T-1292,V010,2025-04-28T15:09:17,496.87,INVOICE,INV-70292,False,,,,,
T-1270,V009,2025-04-28T15:28:36,2995.58,INVOICE,INV-70270,False,,,,,
T-1346,V013,2025-04-29T09:15:41,1499.0,INVOICE,INV-70346,False,,,,,
T-1496,V020,2025-04-30T10:42:09,5381.35,INVOICE,INV-70496,False,,,,,
T-1452,V018,2025-05-02T12:05:45,1379.77,INVOICE,INV-70452,False,,,,,
T-1131,V005,2025-05-02T14:52:56,1263.25,INVOICE,INV-70131,False,,,,,
T-1345,V013,2025-05-07T11:23:35,1499.0,INVOICE,INV-70345,False,,,,,
T-1473,V019,2025-05-08T17:04:01,180.81,INVOICE,INV-70473,False,,,,,
T-1158,V006,2025-05-09T09:22:44,4517.46,INVOICE,INV-70158,False,,,,,
T-1037,V001,2025-05-12T09:44:53,292.63,INVOICE,INV-70037,False,,,,,
T-1003,V001,2025-05-12T09:46:03,382.42,INVOICE,INV-70003,False,,,,,
T-1207,V008,2025-05-12T12:16:14,1106.35,INVOICE,INV-70207,False,,,,,
T-1489,V020,2025-05-12T13:37:56,4623.18,INVOICE,INV-70489,False,,,,,
T-1286,V010,2025-05-13T10:28:52,599.09,INVOICE,INV-70286,False,,,,,
T-1273,V009,2025-05-14T15:03:24,4046.73,INVOICE,INV-70273,False,,,,,
T-1256,V009,2025-05-15T16:23:24,5069.38,INVOICE,INV-70256,False,,,,,
T-1386,V015,2025-05-16T09:38:02,858.22,INVOICE,INV-70386,False,,,,,
T-1319,V011,2025-05-16T11:12:18,5642.67,INVOICE,INV-70319,False,,,,,
T-1469,V019,2025-05-16T14:20:15,92.93,INVOICE,INV-70469,False,,,,,
T-1178,V007,2025-05-16T14:52:34,755.91,INVOICE,INV-70178,False,,,,,
T-1051,V002,2025-05-16T14:54:15,9957.9,INVOICE,INV-70051,False,,,,,
T-1369,V015,2025-05-17T15:53:25,1145.53,INVOICE,INV-70369,False,,,,,
T-1107,V005,2025-05-19T09:49:51,1045.91,INVOICE,INV-70107,False,,,,,
T-1134,V005,2025-05-19T10:54:01,167.9,INVOICE,INV-70134,False,,,,,
T-1187,V007,2025-05-19T14:55:04,473.38,INVOICE,INV-70187,False,,,,,
T-1086,V004,2025-05-21T11:02:49,5468.7,INVOICE,INV-70086,False,,,,,
T-1076,V003,2025-05-21T11:03:19,2614.45,INVOICE,INV-70076,False,,,,,
T-1460,V019,2025-05-23T09:52:31,101.61,INVOICE,INV-70460,False,,,,,
T-1049,V002,2025-05-23T11:37:55,20064.77,INVOICE,INV-70049,False,,,,,
T-1405,V015,2025-05-24T13:11:12,731.45,INVOICE,INV-70405,False,,,,,
T-1373,V015,2025-05-24T14:25:12,1015.62,INVOICE,INV-70373,False,,,,,
T-1193,V007,2025-05-26T15:32:45,386.24,INVOICE,INV-70193,False,,,,,
T-1259,V009,2025-05-27T10:44:13,6521.48,INVOICE,INV-70259,False,,,,,
T-1106,V005,2025-05-27T11:36:49,598.89,INVOICE,INV-70106,False,,,,,
T-1263,V009,2025-05-27T11:58:34,5575.58,INVOICE,INV-70263,False,,,,,
T-1219,V008,2025-05-28T13:06:53,1453.54,INVOICE,INV-70219,False,,,,,
T-1109,V005,2025-05-29T09:40:10,949.01,INVOICE,INV-70109,False,,,,,
T-1157,V006,2025-05-29T10:14:15,3544.76,INVOICE,INV-70157,False,,,,,
T-1167,V007,2025-05-29T10:45:37,729.04,INVOICE,INV-70167,False,,,,,
T-1095,V004,2025-05-29T14:45:53,3943.47,INVOICE,INV-70095,False,,,,,
T-1007,V001,2025-05-30T10:19:20,290.19,INVOICE,INV-70007,False,,,,,
T-1101,V005,2025-05-30T10:34:20,43.44,INVOICE,INV-70101,False,,,,,
T-1291,V010,2025-05-30T14:38:58,603.8,INVOICE,INV-70291,False,,,,,
T-1336,V011,2025-05-30T15:33:53,1811.86,INVOICE,INV-70336,False,,,,,
T-1371,V015,2025-05-31T10:39:02,916.61,INVOICE,INV-70371,False,,,,,
T-1333,V011,2025-06-02T11:28:08,6219.13,INVOICE,INV-70333,False,,,,,
T-1241,V008,2025-06-02T11:33:18,2257.95,INVOICE,INV-70241,False,,,,,
T-1467,V019,2025-06-02T14:16:10,127.82,INVOICE,INV-70467,False,,,,,
T-1492,V020,2025-06-02T15:36:55,1781.0,INVOICE,INV-70492,False,,,,,
T-1312,V011,2025-06-03T11:05:01,4581.78,INVOICE,INV-70312,False,,,,,
T-1497,V020,2025-06-03T12:00:49,4690.75,INVOICE,INV-70497,False,,,,,
T-1318,V011,2025-06-03T14:06:38,3338.33,INVOICE,INV-70318,False,,,,,
T-1441,V018,2025-06-04T12:15:19,1522.07,INVOICE,INV-70441,False,,,,,
T-1222,V008,2025-06-09T15:33:37,2257.69,INVOICE,INV-70222,False,,,,,
T-1153,V006,2025-06-09T15:39:06,8396.66,INVOICE,INV-70153,False,,,,,
T-1278,V010,2025-06-11T09:49:32,280.31,INVOICE,INV-70278,False,,,,,
T-1436,V017,2025-06-11T12:38:45,1384.92,INVOICE,INV-70436,False,,,,,
T-1413,V016,2025-06-12T09:38:05,6015.81,INVOICE,INV-70413,False,,,,,
T-1202,V008,2025-06-13T10:11:19,2669.89,INVOICE,INV-70202,False,,,,,
T-1063,V002,2025-06-13T11:13:32,14235.05,INVOICE,INV-70063,False,,,,,
T-1032,V001,2025-06-13T11:17:24,229.04,INVOICE,INV-70032,False,,,,,
T-1326,V011,2025-06-13T14:59:32,3064.76,INVOICE,INV-70326,False,,,,,
T-1404,V015,2025-06-15T14:06:22,1024.6,INVOICE,INV-70404,False,,,,,
T-1030,V001,2025-06-16T12:29:21,370.4,INVOICE,INV-70030,False,,,,,
T-1059,V002,2025-06-18T10:33:37,10027.54,INVOICE,INV-70059,False,,,,,
T-1081,V003,2025-06-18T13:55:01,3066.65,INVOICE,INV-70081,False,,,,,
T-1083,V003,2025-06-18T14:32:36,2570.48,INVOICE,INV-70083,False,,,,,
T-1013,V001,2025-06-19T15:27:39,268.97,INVOICE,INV-70013,False,,,,,
T-1332,V011,2025-06-20T10:03:02,2428.53,INVOICE,INV-70332,False,,,,,
T-1006,V001,2025-06-23T13:50:59,394.75,INVOICE,INV-70006,False,,,,,
T-1375,V015,2025-06-24T10:36:34,1217.14,INVOICE,INV-70375,False,,,,,
T-1422,V016,2025-06-24T10:52:37,8957.9,INVOICE,INV-70422,False,,,,,
T-1342,V013,2025-06-25T10:54:09,1499.0,INVOICE,INV-70342,False,,,,,
T-1491,V020,2025-06-25T17:02:36,5821.26,INVOICE,INV-70491,False,,,,,
T-1322,V011,2025-06-26T10:50:07,4555.22,INVOICE,INV-70322,False,,,,,
T-1290,V010,2025-06-26T11:02:17,723.97,INVOICE,INV-70290,False,,,,,
T-1093,V004,2025-06-26T13:54:25,3808.87,INVOICE,INV-70093,False,,,,,
T-1091,V004,2025-06-26T14:09:42,6679.13,INVOICE,INV-70091,False,,,,,
T-1280,V010,2025-06-30T10:33:16,201.24,INVOICE,INV-70280,False,,,,,
T-1189,V007,2025-06-30T14:50:59,56.74,INVOICE,INV-70189,False,,,,,
T-1364,V015,2025-06-30T15:28:24,392.94,INVOICE,INV-70364,False,,,,,
T-1350,V013,2025-07-02T10:20:04,1499.0,INVOICE,INV-70350,False,,,,,
T-1038,V001,2025-07-02T10:42:04,172.03,INVOICE,INV-70038,False,,,,,
T-1040,V001,2025-07-04T15:08:23,358.88,INVOICE,INV-70040,False,,,,,
T-1228,V008,2025-07-07T14:33:59,2408.6,INVOICE,INV-70228,False,,,,,
T-1266,V009,2025-07-08T14:00:52,4702.51,INVOICE,INV-70266,False,,,,,
T-1448,V018,2025-07-10T09:49:03,1310.61,INVOICE,INV-70448,False,,,,,
T-1048,V001,2025-07-10T15:21:30,293.45,INVOICE,INV-70048,False,,,,,
T-1162,V006,2025-07-11T11:36:17,11199.49,INVOICE,INV-70162,False,,,,,
T-1161,V006,2025-07-11T15:34:10,8356.99,INVOICE,INV-70161,False,,,,,
T-1377,V015,2025-07-14T08:57:28,821.72,INVOICE,INV-70377,False,,,,,
T-1359,V014,2025-07-14T09:51:14,26046.39,INVOICE,INV-70359,False,,,,,
T-1058,V002,2025-07-14T10:37:40,15561.42,INVOICE,INV-70058,False,,,,,
T-1111,V005,2025-07-14T10:51:40,569.62,INVOICE,INV-70111,False,,,,,
T-1114,V005,2025-07-15T11:40:21,166.74,INVOICE,INV-70114,False,,,,,
T-1285,V010,2025-07-15T16:19:08,205.95,INVOICE,INV-70285,False,,,,,
T-1293,V010,2025-07-16T10:48:57,1570.19,INVOICE,INV-70293,False,,,,,
T-1434,V017,2025-07-16T13:21:41,2539.76,INVOICE,INV-70434,False,,,,,
T-1119,V005,2025-07-16T13:42:58,1646.69,INVOICE,INV-70119,False,,,,,
T-1071,V002,2025-07-16T15:19:02,6165.9,INVOICE,INV-70071,False,,,,,
T-1190,V007,2025-07-17T10:41:04,618.33,INVOICE,INV-70190,False,,,,,
T-1476,V019,2025-07-18T09:52:29,225.03,INVOICE,INV-70476,False,,,,,
T-1001,V001,2025-07-18T15:02:39,384.03,INVOICE,INV-70001,False,,,,,
T-1361,V014,2025-07-23T10:41:19,41474.04,INVOICE,INV-70361,False,,,,,
T-1085,V004,2025-07-23T16:04:08,4698.46,INVOICE,INV-70085,False,,,,,
T-1462,V019,2025-07-24T10:44:21,157.15,INVOICE,INV-70462,False,,,,,
T-1140,V005,2025-07-24T14:53:56,1880.26,INVOICE,INV-70140,False,,,,,
T-1164,V007,2025-07-24T15:02:05,708.15,INVOICE,INV-70164,False,,,,,
T-1155,V006,2025-07-25T11:10:38,5094.92,INVOICE,INV-70155,False,,,,,
T-1339,V012,2025-07-25T17:02:45,9618.23,INVOICE,INV-70339,False,,,,,
T-1060,V002,2025-07-28T10:48:07,7669.48,INVOICE,INV-70060,False,,,,,
T-1159,V006,2025-07-28T11:29:00,6567.48,INVOICE,INV-70159,False,,,,,
T-1500,V020,2025-07-29T12:10:51,2994.61,INVOICE,INV-70500,False,,,,,
T-1029,V001,2025-07-29T16:08:49,370.0,INVOICE,INV-70029,False,,,,,
T-1429,V017,2025-07-30T09:36:11,606.29,INVOICE,INV-70429,False,,,,,
T-1465,V019,2025-07-30T11:32:09,308.16,INVOICE,INV-70465,False,,,,,
T-1011,V001,2025-07-30T11:34:16,350.31,INVOICE,INV-70011,False,,,,,
T-1258,V009,2025-07-30T15:51:25,7019.71,INVOICE,INV-70258,False,,,,,
T-1415,V016,2025-07-31T13:44:14,8283.35,INVOICE,INV-70415,False,,,,,
T-1390,V015,2025-07-31T14:21:35,1446.62,INVOICE,INV-70390,False,,,,,
T-1267,V009,2025-07-31T15:05:28,7383.5,INVOICE,INV-70267,False,,,,,
T-1443,V018,2025-07-31T16:14:31,1344.31,INVOICE,INV-70443,False,,,,,
T-1235,V008,2025-08-04T09:52:36,1736.04,INVOICE,INV-70235,False,,,,,
T-1166,V007,2025-08-04T10:16:47,1060.85,INVOICE,INV-70166,False,,,,,
T-1218,V008,2025-08-04T12:22:44,3279.7,INVOICE,INV-70218,False,,,,,
T-1012,V001,2025-08-04T13:23:30,405.42,INVOICE,INV-70012,False,,,,,
T-1317,V011,2025-08-05T15:00:18,1476.21,INVOICE,INV-70317,False,,,,,
T-1490,V020,2025-08-06T09:25:07,5225.61,INVOICE,INV-70490,False,,,,,
T-1426,V017,2025-08-06T10:32:30,1885.19,INVOICE,INV-70426,False,,,,,
T-1047,V001,2025-08-07T10:57:44,351.07,INVOICE,INV-70047,False,,,,,
T-1431,V017,2025-08-07T14:01:38,710.02,INVOICE,INV-70431,False,,,,,
T-1146,V006,2025-08-07T16:09:42,3374.2,INVOICE,INV-70146,False,,,,,
T-1314,V011,2025-08-08T10:33:15,3842.65,INVOICE,INV-70314,False,,,,,
T-1113,V005,2025-08-08T11:02:04,891.97,INVOICE,INV-70113,False,,,,,
T-1195,V007,2025-08-08T13:44:28,579.15,INVOICE,INV-70195,False,,,,,
T-1129,V005,2025-08-08T14:22:02,1515.41,INVOICE,INV-70129,False,,,,,
T-1276,V009,2025-08-08T15:35:06,6065.32,INVOICE,INV-70276,False,,,,,
T-1148,V006,2025-08-11T09:23:32,3713.22,INVOICE,INV-70148,False,,,,,
T-1299,V010,2025-08-11T12:31:40,786.39,INVOICE,INV-70299,False,,,,,
T-1330,V011,2025-08-11T13:16:50,4099.76,INVOICE,INV-70330,False,,,,,
T-1334,V011,2025-08-13T15:17:45,3320.53,INVOICE,INV-70334,False,,,,,
T-1249,V008,2025-08-13T16:00:10,1992.81,INVOICE,INV-70249,False,,,,,
T-1324,V011,2025-08-14T13:14:53,2457.36,INVOICE,INV-70324,False,,,,,
T-1147,V006,2025-08-14T14:48:04,3960.88,INVOICE,INV-70147,False,,,,,
